Title,Comapny,Date,Link,Industry,Occupation,Type
Sales Lead - Toronto,INTERMIX,11/4/2020,https://ca.linkedin.com/jobs/view/sales-lead-toronto-at-intermix-2272692200?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Associate (F.Time) - Upper Canada Mall,Linen Chest,10/31/2020,https://ca.linkedin.com/jobs/view/sales-associate-f-time-upper-canada-mall-at-linen-chest-2304365281?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=4&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Manager,Suitsupply,11/27/2020,https://ca.linkedin.com/jobs/view/sales-manager-at-suitsupply-2309484604?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Manager - Rogers - Fairview Mall,Rogers Communications,11/16/2020,https://ca.linkedin.com/jobs/view/store-manager-rogers-fairview-mall-at-rogers-communications-2277279469?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Marketing Manager NA,INFARM,11/26/2020,https://ca.linkedin.com/jobs/view/retail-marketing-manager-na-at-infarm-2307814575?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=7&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Oakley Regional Market Manager Canada,Luxottica,11/20/2020,https://ca.linkedin.com/jobs/view/oakley-regional-market-manager-canada-at-luxottica-2294439181?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=8&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Merchandising Development Lead, Visual Merchandising",The Home Depot Canada,11/4/2020,https://ca.linkedin.com/jobs/view/merchandising-development-lead-visual-merchandising-at-the-home-depot-canada-2274193674?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=9&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
District Manager,Shoppers Drug Mart,11/12/2020,https://ca.linkedin.com/jobs/view/district-manager-at-shoppers-drug-mart-2285209546?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Team Leader- North York Store,MEC,11/3/2020,https://ca.linkedin.com/jobs/view/team-leader-north-york-store-at-mec-2293313131?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=11&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Key Holder - 30 hrs - Hudson's Bloor - Toronto,ON",The Estée Lauder Companies Inc.,11/20/2020,https://ca.linkedin.com/jobs/view/key-holder-30-hrs-hudson-s-bloor-toronto-on-at-the-est%C3%A9e-lauder-companies-inc-2294434578?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=12&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Dulux Store Sales Specialist Part Time,PPG Industries,11/10/2020,https://ca.linkedin.com/jobs/view/dulux-store-sales-specialist-part-time-at-ppg-industries-2296461349?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=13&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Store Manager, Winners One York",TJX Canada/Winners Merchants International L.P.,11/9/2020,https://ca.linkedin.com/jobs/view/store-manager-winners-one-york-at-tjx-canada-winners-merchants-international-l-p-2261966994?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=14&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Manager,Sherwin-Williams,11/25/2020,https://ca.linkedin.com/jobs/view/store-manager-at-sherwin-williams-2321447200?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=15&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Senior Manager, Store Support and Operational Excellence",Staples Canada,11/18/2020,https://ca.linkedin.com/jobs/view/senior-manager-store-support-and-operational-excellence-at-staples-canada-2288667724?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=16&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Leader Canada (Manager),7-Eleven,11/24/2020,https://ca.linkedin.com/jobs/view/store-leader-canada-manager-at-7-eleven-2320394269?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=17&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Sales Associate, Toronto - Bilingual",Thai Away Home,11/20/2020,https://ca.linkedin.com/jobs/view/sales-associate-toronto-bilingual-at-thai-away-home-2316612282?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=18&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Loss Prevention Agent - Toronto Eaton Centre,Old Navy,11/17/2020,https://ca.linkedin.com/jobs/view/loss-prevention-agent-toronto-eaton-centre-at-old-navy-2286301262?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=19&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Produce Manager - Toronto,Farm Boy Inc.,11/27/2020,https://ca.linkedin.com/jobs/view/produce-manager-toronto-at-farm-boy-inc-2323723302?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=20&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto,dollarama,11/27/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-at-dollarama-2324088932?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=21&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto Downtown,Money Mart Financial Services,11/26/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-downtown-at-money-mart-financial-services-2307226522?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=22&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Manager, Selling & Store Experience",SEPHORA,11/11/2020,https://ca.linkedin.com/jobs/view/manager-selling-store-experience-at-sephora-2303174397?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=23&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto North,Money Mart Financial Inc,11/10/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-north-at-money-mart-financial-inc-2297938496?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=24&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
LWS - Customer Service Associate - Sales Floor,"Lowe's Companies, Inc.",11/26/2020,https://ca.linkedin.com/jobs/view/lws-customer-service-associate-sales-floor-at-lowe-s-companies-inc-2323501140?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=25&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Associate-Retail - Richmond Hill,Roots Canada,10/31/2020,https://ca.linkedin.com/jobs/view/sales-associate-retail-richmond-hill-at-roots-canada-2310317574?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=1&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Apprentice Retail Sales Adviser - Scarborough,Superdrug,11/24/2020,https://ca.linkedin.com/jobs/view/apprentice-retail-sales-adviser-scarborough-at-superdrug-2320517347?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=2&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,Dollarama,11/1/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-dollarama-2323255492?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=3&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
